text,adv_text,label,label_id,reference
"Given the facts below, answer the question.

Facts:
Estelle rests in a shrub. Every bird either rests in a shrub or drinks from streams, but these activities can happen at different times or places. Estelle does not identify shelter. Estelle either identifies shelter or explores terrain. For any bird, it either finds food nearby or drinks from streams, but these activities can happen at different times or places. Estelle does not settle her nest. If Estelle either explores her terrain or knows her territory (but not both), then she will settle her nest. If a bird knows its territory and finds food nearby, then it lives locally. Estelle adapts to the changing seasons. Any bird that lives locally and adapts to the changing seasons is a non-migratory bird.

Question:
Based on the above information, is the following statement true, false, or uncertain? Either Estelle is a migratory bird or she is a non-migratory bird, but not both.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Any bird that lives locally and adapts to the changing seasons is a non-migratory bird. If Alexandria either explores her terrain or knows her territory (but not both), then she will settle her nest. Every bird that has a territory either defends its nest or lives locally (or both). Estelle does not identify shelter. If a bird knows its territory and finds food nearby, then it lives locally. Estelle drinks from streams if she lives near water. If Estelle either explores her terrain or knows her territory (but not both), then she will settle her nest. Estelle rests in a shrub. Alexandria does not settle her nest. Alexandria either identifies shelter or explores terrain. Estelle does not settle her nest. For any bird, it either finds food nearby or drinks from streams, but these activities can happen at different times or places. Alexandria adapts to the changing seasons. Saoirse rests in a shrub. Every bird either rests in a shrub or drinks from streams, but these activities can happen at different times or places. Estelle either identifies shelter or explores terrain. Saoirse does not identify shelter. Dexter crosses borders. Alexandria travels seasonally. Estelle adapts to the changing seasons.

Question:
Based on the above information, is the following statement true, false, or uncertain? Either Estelle is a migratory bird or she is a non-migratory bird, but not both.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",C,2,"fact1: Estelle rests in a shrub.
rule: Every bird either rests in a shrub or drinks from streams, but these activities can happen at different times or places.
conclusion: Estelle does not drink from streams.
fact1: Estelle does not identify shelter.
rule: Estelle either identifies shelter or explores terrain.
conclusion: Estelle explores her terrain.
fact1: Estelle does not drink from streams.
rule: For any bird, it either finds food nearby or drinks from streams, but these activities can happen at different times or places.
conclusion: Estelle finds food nearby.
fact1: Estelle explores her terrain.
fact2: Estelle does not settle her nest.
rule: If Estelle either explores her terrain or knows her territory (but not both), then she will settle her nest.
conclusion: Estelle knows her territory.
fact1: Estelle knows her territory.
fact2: Estelle finds food nearby.
rule: If a bird knows its territory and finds food nearby, then it lives locally.
conclusion: Estelle lives locally.
fact1: Estelle lives locally.
fact2: Estelle adapts to the changing seasons.
rule: Any bird that lives locally and adapts to the changing seasons is a non-migratory bird.
conclusion: Estelle is a non-migratory bird.

According to the context and the conclusions that have already been drawn, we can deduce that it is uncertain that Either Estelle is a migratory bird or she is a non-migratory bird, but not both. The correct option is: C."
"Given the facts below, answer the question.

Facts:
Cinnamon has natural ability. Cinnamon either relies on natural ability or performs complex tasks through training, but not both. Cinnamon is well cared for. Cinnamon does not have high energy. If Cinnamon is well cared for, then she either has a good temperament or has high energy (but not both). Cinnamon does not enjoy exercise. Every horse enjoys exercise or has a strong bond with its owner. Cinnamon remains calm. If a horse learns quickly and remains calm, then it can perform complex tasks. Every horse with a good temperament either learns quickly or responds to cues (or both). If a horse has a strong bond with its owner, then it trusts its owner. All horses that trust their owner and respond to cues can have patience and training. If Cinnamon has patience and training, then she can overcome physical limitations.

Question:
Based on the above information, is the following statement true, false, or uncertain? Cinnamon cannot overcome physical limitations.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Felipe remains calm. Kaiden does not enjoy exercise. Every horse enjoys exercise or has a strong bond with its owner. Felipe has natural ability. If Felipe has patience and training, then she can overcome physical limitations. Felipe does not have high energy. If Cinnamon has patience and training, then she can overcome physical limitations. Gary either relies on natural ability or performs complex tasks through training, but not both. If a horse has a strong bond with its owner, then it trusts its owner. Cinnamon does not enjoy exercise. All horses that trust their owner and respond to cues can have patience and training. Every horse with a good temperament either learns quickly or responds to cues (or both). Cinnamon is well cared for. Cinnamon either relies on natural ability or performs complex tasks through training, but not both. Gary is well cared for. Cinnamon remains calm. If Kaiden is well cared for, then she either has a good temperament or has high energy (but not both). Cinnamon does not have high energy. Cinnamon has natural ability. If a horse learns quickly and remains calm, then it can perform complex tasks. If Cinnamon is well cared for, then she either has a good temperament or has high energy (but not both).

Question:
Based on the above information, is the following statement true, false, or uncertain? Cinnamon cannot overcome physical limitations.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",B,1,"fact1: Cinnamon has natural ability.
rule: Cinnamon either relies on natural ability or performs complex tasks through training, but not both.
conclusion: Cinnamon cannot perform complex tasks.
fact1: Cinnamon is well cared for.
fact2: Cinnamon does not have high energy.
rule: If Cinnamon is well cared for, then she either has a good temperament or has high energy (but not both).
conclusion: Cinnamon has a good temperament.
fact1: Cinnamon does not enjoy exercise.
rule: Every horse enjoys exercise or has a strong bond with its owner.
conclusion: Cinnamon has a strong bond with Emma.
fact1: Cinnamon remains calm.
fact2: Cinnamon cannot perform complex tasks.
rule: If a horse learns quickly and remains calm, then it can perform complex tasks.
conclusion: Cinnamon does not learn quickly.
fact1: Cinnamon has a good temperament.
fact2: Cinnamon does not learn quickly.
rule: Every horse with a good temperament either learns quickly or responds to cues (or both).
conclusion: Cinnamon responds to cues.
fact1: Cinnamon has a strong bond with Emma.
rule: If a horse has a strong bond with its owner, then it trusts its owner.
conclusion: Cinnamon trusts her owner.
fact1: Cinnamon trusts her owner.
fact2: Cinnamon responds to cues.
rule: All horses that trust their owner and respond to cues can have patience and training.
conclusion: Cinnamon has patience and training.
fact1: Cinnamon has patience and training.
rule: If Cinnamon has patience and training, then she can overcome physical limitations.
conclusion: Cinnamon cannot overcome physical limitations.

Therefore, it is false that Cinnamon cannot overcome physical limitations. The correct option is: B."
"Given the facts below, answer the question.

Facts:
Marcos writes prose. Marcos either writes prose or crafts poetry, but not both. Marcos does not have a creative soul. For all humans, if they either create masterpieces or craft poetry, then they have a creative soul. Marcos makes music. Marcos speaks the truth. If Marcos makes music, then he either conveys feelings or speaks the truth, but not both. Marcos tells stories. Anyone who tells stories either expresses emotions or conveys feelings. Marcos does not seek validation. For Marcos, seeking validation and being hopeful are mutually exclusive. If Marcos expresses emotions and is passionate, then he can create masterpieces. If Marcos is either pessimistic or hopeful (but not both), then he is passionate.

Question:
Based on the above information, is the following statement true, false, or uncertain? Marcos is pessimistic.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Marcos tells stories. Marcos speaks the truth. Marcos makes music. Marcos either writes prose or crafts poetry, but not both. Anyone who tells stories either expresses emotions or conveys feelings. If Marcos is either pessimistic or hopeful (but not both), then he is passionate. If Jemma makes music, then he either conveys feelings or speaks the truth, but not both. Cuteness speaks the truth. Jemma does not have a creative soul. Jemma makes music. Cuteness either writes prose or crafts poetry, but not both. If Marcos expresses emotions and is passionate, then he can create masterpieces. Cuteness writes prose. If Cuteness is either pessimistic or hopeful (but not both), then he is passionate. Marcos writes prose. If Bronson expresses emotions and is passionate, then he can create masterpieces. Marcos does not have a creative soul. For Marcos, seeking validation and being hopeful are mutually exclusive. Marcos does not seek validation. If Marcos makes music, then he either conveys feelings or speaks the truth, but not both. For all humans, if they either create masterpieces or craft poetry, then they have a creative soul.

Question:
Based on the above information, is the following statement true, false, or uncertain? Marcos is pessimistic.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",A,0,"fact1: Marcos writes prose.
rule: Marcos either writes prose or crafts poetry, but not both.
conclusion: Marcos does not craft poetry.
fact1: Marcos does not craft poetry.
fact2: Marcos does not have a creative soul.
rule: For all humans, if they either create masterpieces or craft poetry, then they have a creative soul.
conclusion: Marcos does not create masterpieces.
fact1: Marcos makes music.
fact2: Marcos speaks the truth.
rule: If Marcos makes music, then he either conveys feelings or speaks the truth, but not both.
conclusion: Marcos does not convey feelings.
fact1: Marcos tells stories.
fact2: Marcos does not convey feelings.
rule: Anyone who tells stories either expresses emotions or conveys feelings.
conclusion: Marcos expresses emotions.
fact1: Marcos does not seek validation.
rule: For Marcos, seeking validation and being hopeful are mutually exclusive.
conclusion: Marcos is hopeful.
fact1: Marcos expresses emotions.
fact2: Marcos does not create masterpieces.
rule: If Marcos expresses emotions and is passionate, then he can create masterpieces.
conclusion: Marcos is not passionate.
fact1: Marcos is hopeful.
fact2: Marcos is not passionate.
rule: If Marcos is either pessimistic or hopeful (but not both), then he is passionate.
conclusion: Marcos is pessimistic.

Therefore, it is true that Marcos is pessimistic. The correct option is: A."
"Given the facts below, answer the question.

Facts:
Timothy does not achieve success. If Timothy learns quickly, then he achieves success. Timothy values diversity. Timothy does not appreciate heritage. For anyone who values diversity and respects traditions, they appreciate heritage. If Timothy speaks foreign languages, then he learns quickly and adapts well. Timothy explores new places. If Timothy either speaks foreign languages or explores new places (but not both), then he travels abroad. If Timothy travels abroad, then he either respects the local traditions or is culturally sensitive (or both). For every person Timothy met, they were either culturally sensitive or culturally insensitive, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Timothy is culturally insensitive.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Timothy does not achieve success. For every person Timothy met, they were either culturally sensitive or culturally insensitive, but not both. If Mina speaks foreign languages, then he learns quickly and adapts well. If Timothy learns quickly, then he achieves success. For every person Maria met, they were either culturally sensitive or culturally insensitive, but not both. If Maria learns quickly, then he achieves success. If Timothy travels abroad, then he either respects the local traditions or is culturally sensitive (or both). Mina does not achieve success. Timothy explores new places. If Timothy either speaks foreign languages or explores new places (but not both), then he travels abroad. If Timothy speaks foreign languages, then he learns quickly and adapts well. For anyone who values diversity and respects traditions, they appreciate heritage. Timothy does not appreciate heritage. Timothy values diversity. Simon thrives in new situations. Maria does not appreciate heritage. Maria explores new places. Simon values diversity.

Question:
Based on the above information, is the following statement true, false, or uncertain? Timothy is culturally insensitive.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",B,1,"fact1: Timothy does not achieve success.
rule: If Timothy learns quickly, then he achieves success.
conclusion: Timothy does not learn quickly.
fact1: Timothy values diversity.
fact2: Timothy does not appreciate heritage.
rule: For anyone who values diversity and respects traditions, they appreciate heritage.
conclusion: Timothy does not respect the local traditions.
fact1: Timothy does not learn quickly.
rule: If Timothy speaks foreign languages, then he learns quickly and adapts well.
conclusion: Timothy does not speak foreign languages.
fact1: Timothy does not speak foreign languages.
fact2: Timothy explores new places.
rule: If Timothy either speaks foreign languages or explores new places (but not both), then he travels abroad.
conclusion: Timothy travels abroad.
fact1: Timothy travels abroad.
fact2: Timothy does not respect the local traditions.
rule: If Timothy travels abroad, then he either respects the local traditions or is culturally sensitive (or both).
conclusion: Timothy is culturally sensitive.
fact1: Timothy is culturally sensitive.
rule: For every person Timothy met, they were either culturally sensitive or culturally insensitive, but not both.
conclusion: Timothy is culturally insensitive.

Therefore, it is false that Timothy is culturally insensitive. The correct option is: B."
"Given the facts below, answer the question.

Facts:
Dominic pursues physical activities. Dominic does not build confidence. If Dominic pursues physical activities, then he either builds confidence or engages in sports (or both). Dominic does not maintain good health. Everyone who engages in sports either maintains good health or stays active (or both). Dominic pursues new challenges. Dominic either retires early or pursues new challenges, but not both. Dominic either becomes a champion or retires early, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Dominic has natural talent.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
If Hotness pursues physical activities, then he either builds confidence or engages in sports (or both). Maxine does not build confidence. Dominic either retires early or pursues new challenges, but not both. Maxine pursues new challenges. Jayce either becomes a champion or retires early, but not both. Dominic does not maintain good health. Dominic does not build confidence. Jayce pursues physical activities. If Dominic pursues physical activities, then he either builds confidence or engages in sports (or both). If Hotness plays netball and has natural talent, then he can become a champion. Everyone who engages in sports either maintains good health or stays active (or both). If Dominic sets goals, then he works hard and stays active. If Dominic joins local teams, then he plays netball and excels in competition. Hotness either retires early or pursues new challenges, but not both. Dominic pursues physical activities. Dominic watches games or engages in sports. Dominic pursues new challenges. Hotness does not maintain good health. Dominic either becomes a champion or retires early, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Dominic has natural talent.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",C,2,"fact1: Dominic pursues physical activities.
fact2: Dominic does not build confidence.
rule: If Dominic pursues physical activities, then he either builds confidence or engages in sports (or both).
conclusion: Dominic engages in sports.
fact1: Dominic engages in sports.
fact2: Dominic does not maintain good health.
rule: Everyone who engages in sports either maintains good health or stays active (or both).
conclusion: Dominic stays active.
fact1: Dominic pursues new challenges.
rule: Dominic either retires early or pursues new challenges, but not both.
conclusion: Dominic does not retire early.
fact1: Dominic does not retire early.
rule: Dominic either becomes a champion or retires early, but not both.
conclusion: Dominic becomes a champion.

According to the context and the conclusions that have already been drawn, we can deduce that it is uncertain that Dominic has natural talent. The correct option is: C."
"Given the facts below, answer the question.

Facts:
Schmoopy protects her territory. Schmoopy either protects her territory or shows loyalty, but not both. Schmoopy does not receive affection. Any cat that snuggles close or shows loyalty will receive affection. Schmoopy loves attention. Every cat that loves attention either pursues toys or snuggles close (or both). Schmoopy has good vision. Schmoopy is not nocturnal. If Schmoopy has good vision, then she is either nocturnal or active at night, but not both. All cats that are active at night have sharp reflexes and pursue toys. Schmoopy is either curious or has sharp reflexes, but not necessarily both. Every cat is affectionate or curious (or both).

Question:
Based on the above information, is the following statement true, false, or uncertain? Schmoopy is not playful.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Axl does not receive affection. Schmoopy is either curious or has sharp reflexes, but not necessarily both. If Schmoopy has good vision, then she is either nocturnal or active at night, but not both. Axl either protects her territory or shows loyalty, but not both. All cats that are active at night have sharp reflexes and pursue toys. Every cat that loves attention either pursues toys or snuggles close (or both). Schmoopy has good vision. Schmoopy does not receive affection. Schmoopy is not nocturnal. Every cat is affectionate or curious (or both). Any cat that snuggles close or shows loyalty will receive affection. Schmoopy loves attention. If Gatlin has good vision, then she is either nocturnal or active at night, but not both. Schmoopy either protects her territory or shows loyalty, but not both. Schmoopy protects her territory.

Question:
Based on the above information, is the following statement true, false, or uncertain? Schmoopy is not playful.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",C,2,"fact1: Schmoopy protects her territory.
rule: Schmoopy either protects her territory or shows loyalty, but not both.
conclusion: Schmoopy does not show loyalty.
fact1: Schmoopy does not show loyalty.
fact2: Schmoopy does not receive affection.
rule: Any cat that snuggles close or shows loyalty will receive affection.
conclusion: Schmoopy does not snuggle close.
fact1: Schmoopy loves attention.
fact2: Schmoopy does not snuggle close.
rule: Every cat that loves attention either pursues toys or snuggles close (or both).
conclusion: Schmoopy pursues toys.
fact1: Schmoopy has good vision.
fact2: Schmoopy is not nocturnal.
rule: If Schmoopy has good vision, then she is either nocturnal or active at night, but not both.
conclusion: Schmoopy is active at night.
fact1: Schmoopy is active at night.
fact2: Schmoopy pursues toys.
rule: All cats that are active at night have sharp reflexes and pursue toys.
conclusion: Schmoopy has sharp reflexes.
fact1: Schmoopy has sharp reflexes.
rule: Schmoopy is either curious or has sharp reflexes, but not necessarily both.
conclusion: Schmoopy is not curious.
fact1: Schmoopy is not curious.
rule: Every cat is affectionate or curious (or both).
conclusion: Schmoopy is affectionate.

According to the context and the conclusions that have already been drawn, we can deduce that it is uncertain that Schmoopy is not playful. The correct option is: C."
"Given the facts below, answer the question.

Facts:
Queenie pursues her passions. If Queenie pursues her passions, then she thinks critically and values independence. Queenie has good self-care. Queenie does not trust her intuition. If Queenie has good self-care, then she either trusts her intuition or loves unconditionally (but not both). Queenie respects her own boundaries. Anyone who respects their own boundaries accepts themselves. Queenie does not express authenticity. Queenie expresses authenticity or embraces individuality. If Queenie values independence, then she either practices self-love or embraces individuality, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Queenie does not inspire others.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Queenie does not express authenticity. Queenie does not trust her intuition. Thea does not trust her intuition. If Queenie values independence, then she either practices self-love or embraces individuality, but not both. If Drew either accepts herself or loves unconditionally (but not both), then she feels emotionally free. Queenie respects her own boundaries. Thea has good self-care. If Drew practices self-love, then she feels emotionally free and inspires others. If Queenie pursues her passions, then she thinks critically and values independence. If Queenie has good self-care, then she either trusts her intuition or loves unconditionally (but not both). Queenie pursues her passions. If Londyn has good self-care, then she either trusts her intuition or loves unconditionally (but not both). If Drew values independence, then she either practices self-love or embraces individuality, but not both. Thea pursues her passions. Queenie expresses authenticity or embraces individuality. Drew respects her own boundaries. Queenie has good self-care. If Londyn pursues her passions, then she thinks critically and values independence. Anyone who respects their own boundaries accepts themselves.

Question:
Based on the above information, is the following statement true, false, or uncertain? Queenie does not inspire others.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",C,2,"fact1: Queenie pursues her passions.
rule: If Queenie pursues her passions, then she thinks critically and values independence.
conclusion: Queenie values independence.
fact1: Queenie has good self-care.
fact2: Queenie does not trust her intuition.
rule: If Queenie has good self-care, then she either trusts her intuition or loves unconditionally (but not both).
conclusion: Queenie loves unconditionally.
fact1: Queenie respects her own boundaries.
rule: Anyone who respects their own boundaries accepts themselves.
conclusion: Queenie accepts herself.
fact1: Queenie does not express authenticity.
rule: Queenie expresses authenticity or embraces individuality.
conclusion: Queenie embraces individuality.
fact1: Queenie values independence.
fact2: Queenie embraces individuality.
rule: If Queenie values independence, then she either practices self-love or embraces individuality, but not both.
conclusion: Queenie does not practice self-love.

According to the context and the conclusions that have already been drawn, we can deduce that it is uncertain that Queenie does not inspire others. The correct option is: C."
"Given the facts below, answer the question.

Facts:
Clementine does not avoid confrontation. Clementine either has strong convictions or avoids confrontation, but not both. Clementine is prepared. If Clementine is prepared, then she will either have strong convictions or perform well, but not both. Clementine pursues truth. If Clementine pursues truth, then she builds a reputation and is an experienced journalist. If someone stays calm under pressure, then they will perform well. If Clementine is an experienced journalist, then she is either able to stay calm under pressure or think quickly, but not both. For all humans, if they think quickly, then they can handle pressing situations.

Question:
Based on the above information, is the following statement true, false, or uncertain? Clementine can handle pressing situations.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Clementine is prepared. If Trey is prepared, then she will either have strong convictions or perform well, but not both. For all humans, if they think quickly, then they can handle pressing situations. If Cookie is an experienced journalist, then she is either able to stay calm under pressure or think quickly, but not both. If Trey pursues truth, then she builds a reputation and is an experienced journalist. Clementine does not avoid confrontation. If Clementine is prepared, then she will either have strong convictions or perform well, but not both. If Clementine pursues truth, then she builds a reputation and is an experienced journalist. Clementine pursues truth. If someone stays calm under pressure, then they will perform well. Cookie either has strong convictions or avoids confrontation, but not both. Cookie pursues truth. Alina does not avoid confrontation. Clementine either has strong convictions or avoids confrontation, but not both. Cookie is prepared. If Clementine is an experienced journalist, then she is either able to stay calm under pressure or think quickly, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Clementine can handle pressing situations.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",A,0,"fact1: Clementine does not avoid confrontation.
rule: Clementine either has strong convictions or avoids confrontation, but not both.
conclusion: Clementine has strong convictions.
fact1: Clementine is prepared.
fact2: Clementine has strong convictions.
rule: If Clementine is prepared, then she will either have strong convictions or perform well, but not both.
conclusion: Clementine does not perform well.
fact1: Clementine pursues truth.
rule: If Clementine pursues truth, then she builds a reputation and is an experienced journalist.
conclusion: Clementine is an experienced journalist.
fact1: Clementine does not perform well.
rule: If someone stays calm under pressure, then they will perform well.
conclusion: Clementine is not able to stay calm under pressure.
fact1: Clementine is an experienced journalist.
fact2: Clementine is not able to stay calm under pressure.
rule: If Clementine is an experienced journalist, then she is either able to stay calm under pressure or think quickly, but not both.
conclusion: Clementine thinks quickly.
fact1: Clementine thinks quickly.
rule: For all humans, if they think quickly, then they can handle pressing situations.
conclusion: Clementine can handle pressing situations.

Therefore, it is true that Clementine can handle pressing situations. The correct option is: A."
"Given the facts below, answer the question.

Facts:
Dr. Amaia Hernandez does not examine fossil records. Every paleontologist either examines fossil records or is passionate about evolution. Amaia does not have international recognition. Amaia does not make breakthroughs. If Dr. Amaia Hernandez receives accolades, then she either has international recognition or makes breakthroughs (but not both). If Dr. Amaia Hernandez is passionate about evolution, then she studies transition fossils and publishes research. Amaia does not advance knowledge. If Dr. Amaia Hernandez is either a leading expert or receives accolades (but not both), then she advances knowledge. If Dr. Amaia Hernandez studies transition fossils and discovers complete skeletons, then she is a leading expert.

Question:
Based on the above information, is the following statement true, false, or uncertain? Dr. Amaia Hernandez does not discover complete skeletons.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
If Dr. Amaia Hernandez is passionate about evolution, then she studies transition fossils and publishes research. Freyja does not have international recognition. Freyja Hernandez does not attend conferences. Freyja Hernandez does not analyze fossil data. If Dr. Brynn Hernandez studies transition fossils and discovers complete skeletons, then she is a leading expert. If Dr. Amaia Hernandez receives accolades, then she either has international recognition or makes breakthroughs (but not both). If Dr. Amaia Hernandez studies transition fossils and discovers complete skeletons, then she is a leading expert. If Dr. Freyja Hernandez either analyzes fossil data or attends conferences (but not both), then she publishes research. Amaia does not have international recognition. Amaia does not make breakthroughs. Anastasia does not advance knowledge. Amaia does not advance knowledge. Every paleontologist either examines fossil records or is passionate about evolution. Dr. Freyja Hernandez does not examine fossil records. If Dr. Anastasia Hernandez receives accolades, then she either has international recognition or makes breakthroughs (but not both). Dr. Amaia Hernandez does not examine fossil records. If Dr. Freyja Hernandez is passionate about evolution, then she studies transition fossils and publishes research. Anastasia does not make breakthroughs. If Dr. Anastasia Hernandez is either a leading expert or receives accolades (but not both), then she advances knowledge. If Dr. Amaia Hernandez is either a leading expert or receives accolades (but not both), then she advances knowledge.

Question:
Based on the above information, is the following statement true, false, or uncertain? Dr. Amaia Hernandez does not discover complete skeletons.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",A,0,"fact1: Dr. Amaia Hernandez does not examine fossil records.
rule: Every paleontologist either examines fossil records or is passionate about evolution.
conclusion: Amaia is passionate about evolution.
fact1: Amaia does not have international recognition.
fact2: Amaia does not make breakthroughs.
rule: If Dr. Amaia Hernandez receives accolades, then she either has international recognition or makes breakthroughs (but not both).
conclusion: Amaia does not receive accolades.
fact1: Amaia is passionate about evolution.
rule: If Dr. Amaia Hernandez is passionate about evolution, then she studies transition fossils and publishes research.
conclusion: Dr. Amaia Hernandez studies transition fossils.
fact1: Amaia does not receive accolades.
fact2: Amaia does not advance knowledge.
rule: If Dr. Amaia Hernandez is either a leading expert or receives accolades (but not both), then she advances knowledge.
conclusion: Dr. Amaia Hernandez is not a leading expert.
fact1: Dr. Amaia Hernandez studies transition fossils.
fact2: Dr. Amaia Hernandez is not a leading expert.
rule: If Dr. Amaia Hernandez studies transition fossils and discovers complete skeletons, then she is a leading expert.
conclusion: Dr. Amaia Hernandez does not discover complete skeletons.

Therefore, it is true that Dr. Amaia Hernandez does not discover complete skeletons. The correct option is: A."
"Given the facts below, answer the question.

Facts:
Alvaro does not produce original art. If Alvaro thinks outside the box, then he produces original art. Alvaro thinks outside the box or is innovative. Alvaro works hard. Anyone who works hard or sets goals has dedication. Alvaro does not achieve success. If someone gains recognition and has dedication, then they achieve success. If Alvaro follows his passion, then he creates unique work and gains recognition.

Question:
Based on the above information, is the following statement true, false, or uncertain? Alvaro does not follow his passion.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Alvaro does not produce original art. Anyone who works hard or sets goals has dedication. If Alvaro follows his passion, then he creates unique work and gains recognition. Alvaro does not achieve success. If someone gains recognition and has dedication, then they achieve success. Alvaro works hard. Aliyah does not produce original art. Alvaro thinks outside the box or is innovative. If Nathalia thinks outside the box, then he produces original art. Aliyah does not achieve success. If Alvaro thinks outside the box, then he produces original art. Aliyah works hard. Aliyah thinks outside the box or is innovative. If Nathalia follows his passion, then he creates unique work and gains recognition.

Question:
Based on the above information, is the following statement true, false, or uncertain? Alvaro does not follow his passion.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",A,0,"fact1: Alvaro does not produce original art.
rule: If Alvaro thinks outside the box, then he produces original art.
conclusion: Alvaro does not think outside the box.
fact1: Alvaro does not think outside the box.
rule: Alvaro thinks outside the box or is innovative.
conclusion: Alvaro is innovative.
fact1: Alvaro works hard.
rule: Anyone who works hard or sets goals has dedication.
conclusion: Alvaro has dedication.
fact1: Alvaro has dedication.
fact2: Alvaro does not achieve success.
rule: If someone gains recognition and has dedication, then they achieve success.
conclusion: Alvaro does not gain recognition.
fact1: Alvaro does not gain recognition.
rule: If Alvaro follows his passion, then he creates unique work and gains recognition.
conclusion: Alvaro does not follow his passion.

Therefore, it is true that Alvaro does not follow his passion. The correct option is: A."
