text,adv_text,label,label_id,reference
"<<Passage>> Megan's class is going on a field trip to the zoo<<Question>> If each van can hold 5 people and there are 25 students and 5 adults going, how many vans will they need? ","<<Passage>>Megan's class is going on a field trip to the zoo where the temperature is initially 68 degrees Fahrenheit. As the day progresses, the temperature rises to 75 degrees Fahrenheit.<<Question>> If each van can hold 5 people and there are 25 students and 5 adults going, how many vans will they need? ",6.0,6.0,"Explanation: To find out how many vans are needed, we first need to find out how many people are going. We know there are 25 students and 5 adults, so we add these together to get 30 people. Each van can hold 5 people, so we divide the total number of people (30) by the number of people each van can hold (5). This gives us 6. Therefore, they will need 6 vans."
"<<Passage>> Isabel was selling her necklaces at a garage sale.  She sold 3 bead necklaces and 3 gem stone necklaces<<Question>> If each necklace cost 6 dollars, how much money did she earn? ","<<Passage>>Isabel was selling her necklaces at a garage sale. She sold 3 bead necklaces and 3 gem stone necklaces. The weight of the necklaces she had at the start was 100 pounds, and after selling some, it reduced to 120 pounds.<<Question>> If each necklace cost 6 dollars, how much money did she earn? ",36.0,36.0,"Explanation: Isabel sold 3 bead necklaces and 3 gem stone necklaces, making a total of 6 necklaces. Each necklace was sold for 6 dollars. So, the total amount of money she earned is the number of necklaces sold multiplied by the cost of each necklace. That is, 6 necklaces * 6 dollars = 36 dollars."
<<Passage>> A pet store had 19 siamese cats and 45 house cats.  During a sale they sold 56 cats<<Question>> How many cats do they have left? ,<<Passage>>A pet store had 19 siamese cats and 45 house cats with a 50% humidity. During a sale they sold 56 cats and the humidity increased to 60%.<<Question>> How many cats do they have left? ,8.0,8.0,"Explanation: The pet store initially had 19 Siamese cats and 45 house cats, which totals to 64 cats (19 + 45). During a sale, they sold 56 cats. To find out how many cats they have left, we subtract the number of cats sold from the total number of cats. So, 64 - 56 equals 8."
"<<Passage>> Tom had 5 books<<Question>> If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ","<<Passage>>Tom had 5 books that weighed a total of 10 pounds. After adding a few more, the total weight of the books increased to 15 pounds.<<Question>> If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39.0,39.0,"Explanation: Tom initially had 5 books. He sold 4, so he was left with 5 - 4 = 1 book. Then he bought 38 new books. So, the total number of books he has now is the 1 book he had left plus the 38 new books he bought, which is 1 + 38 = 39 books."
"<<Passage>> Katie had 11 songs on her mp3 player<<Question>> If she deleted 7 old songs from it and then added 24 new songs, how many songs does she have on her mp3 player? ","<<Passage>>Katie had 11 songs on her mp3 player, which initially weighed 0 pounds. After adding a protective case and some accessories, it weighed 20 pounds.<<Question>> If she deleted 7 old songs from it and then added 24 new songs, how many songs does she have on her mp3 player? ",28.0,28.0,"Explanation: Katie initially had 11 songs on her mp3 player. She then deleted 7 songs, leaving her with 11 - 7 = 4 songs. After that, she added 24 new songs to her mp3 player. Therefore, the total number of songs on her mp3 player is 4 + 24 = 28 songs."
<<Passage>>The sum of three consecutive even numbers is 162<<Question>> What is the smallest of the three numbers ?,"<<Passage>>The sum of three consecutive even numbers is 162. The humidity in the room was initially 40% but as the calculations continued, it increased to 60%.<<Question>> What is the smallest of the three numbers ?",52.0,52.0,"Explanation: Let's denote the three consecutive even numbers as x, x+2, and x+4. According to the problem, their sum is 162. So, we can write the equation as follows: x + (x+2) + (x+4) = 162. Simplifying this equation, we get 3x + 6 = 162. Subtracting 6 from both sides, we get 3x = 156. Dividing both sides by 3, we get x = 52. Therefore, the smallest of the three numbers is 52."
<<Passage>> Luke was selling his old games.  He started out with 57 but sold 39 of them.  He packed the rest up putting 2 games into each box<<Question>> How many boxes did he have to use? ,"<<Passage>>Luke was selling his old games, which weighed about 200 pounds in total. He started out with 57 but sold 39 of them. He packed the rest up putting 2 games into each box, reducing the total weight to about 150 pounds.<<Question>> How many boxes did he have to use? ",9.0,9.0,"Explanation: Luke started with 57 games and sold 39, so he had 57 - 39 = 18 games left. He packed 2 games into each box, so he needed 18 / 2 = 9 boxes."
"<<Passage>> Gwen earned 8 points for each bag of cans she recycled<<Question>> If she had 4 bags, but didn't recycle 2 of them, how many points would she have earned? ","<<Passage>>Gwen, who weighed 200 pounds, earned 8 points for each bag of cans she recycled. After the recycling, she weighed 250 pounds due to the physical effort.<<Question>> If she had 4 bags, but didn't recycle 2 of them, how many points would she have earned? ",16.0,16.0,"Explanation: Gwen earns 8 points for each bag she recycles. She has 4 bags but didn't recycle 2 of them. This means she recycled 4 - 2 = 2 bags. So, she earned 8 points/bag * 2 bags = 16 points."
"<<Passage>> Maria was making baggies of cookies with 5 cookies in each bag<<Question>> If she had 33 chocolate chip cookies and 2 oatmeal cookies, how many baggies could she make? ","<<Passage>>Maria was making baggies of cookies with 5 cookies in each bag, each bag initially weighing 2 pounds. After adding a few more cookies, each bag now weighs 3 pounds.<<Question>> If she had 33 chocolate chip cookies and 2 oatmeal cookies, how many baggies could she make? ",7.0,7.0,"Explanation: First, we add the number of chocolate chip cookies (33) and oatmeal cookies (2) to get the total number of cookies, which is 35. Since each baggie contains 5 cookies, we divide the total number of cookies (35) by the number of cookies per baggie (5). The result is 7, which means Maria can make 7 baggies of cookies."
"<<Passage>> A painter needed to paint 12 rooms in a building.  Each room takes 3 hours to paint<<Question>> If he already painted 4 rooms, how much longer will he take to paint the rest? ","<<Passage>>A painter needed to paint 12 rooms in a building. Each room takes 3 hours to paint. Initially, the humidity in the building was 50%, but it increased to 65% by the time he finished painting.<<Question>> If he already painted 4 rooms, how much longer will he take to paint the rest? ",24.0,24.0,"Explanation: The painter has already painted 4 rooms, so there are 12 - 4 = 8 rooms left to paint. Each room takes 3 hours to paint, so the painter will take 8 * 3 = 24 hours to paint the rest of the rooms."
