text,adv_text,label,label_id,reference
"Given the facts below, answer the question.

Facts:
Braelynn does not hold influence. Braelynn holds influence or earns power. Braelynn can keep secrets. If Braelynn can keep secrets, then she can either gain the trust of the queen or earn a position of power, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Braelynn gains the trust of the queen.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Braelynn holds influence or earns power. Ayleen does not hold influence. Braelynn does not hold influence. Braelynn can keep secrets. If Braelynn can keep secrets, then she can either gain the trust of the queen or earn a position of power, but not both. If Ayleen can keep secrets, then she can either gain the trust of the queen or earn a position of power, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Braelynn gains the trust of the queen.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",B,1,"fact1: Braelynn does not hold influence.
rule: Braelynn holds influence or earns power.
conclusion: Braelynn earns a position of power.
fact1: Braelynn can keep secrets.
fact2: Braelynn earns a position of power.
rule: If Braelynn can keep secrets, then she can either gain the trust of the queen or earn a position of power, but not both.
conclusion: Braelynn gains the trust of the queen.

Therefore, it is false that Braelynn gains the trust of the queen. The correct option is: B."
"Given the facts below, answer the question.

Facts:
Lucas is not an expert marksman. Lucas is either an expert marksman or a skilled rider, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Lucas is not a respected outlaw.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
If Nixon is either a skilled rider or a loyal partner (but not both), then he is a respected outlaw. Dax is a loyal partner. Lucas is either an expert marksman or a skilled rider, but not both. Nixon is not an expert marksman. Lucas is not an expert marksman.

Question:
Based on the above information, is the following statement true, false, or uncertain? Lucas is not a respected outlaw.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",C,2,"fact1: Lucas is not an expert marksman.
rule: Lucas is either an expert marksman or a skilled rider, but not both.
conclusion: Lucas is a skilled rider.

According to the context and the conclusions that have already been drawn, we can deduce that it is uncertain that Lucas is not a respected outlaw. The correct option is: C."
"Given the facts below, answer the question.

Facts:
Mckenzie is experienced. If Mckenzie is experienced, then she will remain calm under pressure. For all humans, if they remain calm under pressure, then they make good decisions.

Question:
Based on the above information, is the following statement true, false, or uncertain? Mckenzie makes good decisions.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
If Zara is experienced, then she will remain calm under pressure. For all humans, if they remain calm under pressure, then they make good decisions. Mckenzie is experienced. If Mckenzie is experienced, then she will remain calm under pressure.

Question:
Based on the above information, is the following statement true, false, or uncertain? Mckenzie makes good decisions.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",A,0,"fact1: Mckenzie is experienced.
rule: If Mckenzie is experienced, then she will remain calm under pressure.
conclusion: Mckenzie remains calm under pressure.
fact1: Mckenzie remains calm under pressure.
rule: For all humans, if they remain calm under pressure, then they make good decisions.
conclusion: Mckenzie makes good decisions.

Therefore, it is true that Mckenzie makes good decisions. The correct option is: A."
"Given the facts below, answer the question.

Facts:
Alessia does not express herself. Alessia expresses herself or creates meaningful art. Alessia's art does not inspire change. For all humans, if someone creates meaningful art, then it either brings joy to others or inspires change (or both).

Question:
Based on the above information, is the following statement true, false, or uncertain? Alessia's art does not bring joy to others.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Zoya expresses herself or creates meaningful art. For all humans, if someone creates meaningful art, then it either brings joy to others or inspires change (or both). Alessia does not express herself. Sunshine's art does not inspire change. Alessia's art does not inspire change. Alessia expresses herself or creates meaningful art. Zoya does not express herself.

Question:
Based on the above information, is the following statement true, false, or uncertain? Alessia's art does not bring joy to others.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",B,1,"fact1: Alessia does not express herself.
rule: Alessia expresses herself or creates meaningful art.
conclusion: Alessia creates meaningful art.
fact1: Alessia creates meaningful art.
fact2: Alessia's art does not inspire change.
rule: For all humans, if someone creates meaningful art, then it either brings joy to others or inspires change (or both).
conclusion: Alessia's art does not bring joy to others.

Therefore, it is false that Alessia's art does not bring joy to others. The correct option is: B."
"Given the facts below, answer the question.

Facts:
Arya protects marine life. Arya does not advocate for sustainability. Everyone who protects marine life is either environmentally conscious or advocates for sustainability (or both). Either Arya is environmentally conscious or she is environmentally ignorant, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Arya is not environmentally ignorant.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Either Arya is environmentally conscious or she is environmentally ignorant, but not both. Arya does not advocate for sustainability. Everyone who protects marine life is either environmentally conscious or advocates for sustainability (or both). Arya protects marine life. Andre does not advocate for sustainability. Either Heisenberg is environmentally conscious or she is environmentally ignorant, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Arya is not environmentally ignorant.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",A,0,"fact1: Arya protects marine life.
fact2: Arya does not advocate for sustainability.
rule: Everyone who protects marine life is either environmentally conscious or advocates for sustainability (or both).
conclusion: Arya is environmentally conscious.
fact1: Arya is environmentally conscious.
rule: Either Arya is environmentally conscious or she is environmentally ignorant, but not both.
conclusion: Arya is not environmentally ignorant.

Therefore, it is true that Arya is not environmentally ignorant. The correct option is: A."
"Given the facts below, answer the question.

Facts:
Eduardo is emotionally strong. Eduardo is either emotionally strong or emotionally weak, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Eduardo is not emotionally weak.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Eduardo is emotionally strong. Emiliano is either emotionally strong or emotionally weak, but not both. Eduardo is either emotionally strong or emotionally weak, but not both. Karter is emotionally strong.

Question:
Based on the above information, is the following statement true, false, or uncertain? Eduardo is not emotionally weak.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",A,0,"fact1: Eduardo is emotionally strong.
rule: Eduardo is either emotionally strong or emotionally weak, but not both.
conclusion: Eduardo is not emotionally weak.

Therefore, it is true that Eduardo is not emotionally weak. The correct option is: A."
"Given the facts below, answer the question.

Facts:
Tommy has a local focus. Tommy either has a local focus or speaks multiple languages, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Tommy cannot communicate cross-culturally.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Lover has a local focus. Tommy has a local focus. Tommy either has a local focus or speaks multiple languages, but not both. Jimmy either has a local focus or speaks multiple languages, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Tommy cannot communicate cross-culturally.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",C,2,"fact1: Tommy has a local focus.
rule: Tommy either has a local focus or speaks multiple languages, but not both.
conclusion: Tommy does not speak multiple languages.

According to the context and the conclusions that have already been drawn, we can deduce that it is uncertain that Tommy cannot communicate cross-culturally. The correct option is: C."
"Given the facts below, answer the question.

Facts:
Baylor is not injured. Either Baylor is injured or he is fully recovered, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Baylor is not fully recovered.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Elaina is not injured. Baylor is not injured. Either Baylor is injured or he is fully recovered, but not both. Either Sarah is injured or he is fully recovered, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Baylor is not fully recovered.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",B,1,"fact1: Baylor is not injured.
rule: Either Baylor is injured or he is fully recovered, but not both.
conclusion: Baylor is not fully recovered.

Therefore, it is false that Baylor is not fully recovered. The correct option is: B."
"Given the facts below, answer the question.

Facts:
Kaizen is spontaneous. Kaizen is either spontaneous or meticulous, but not both. Kaizen is meticulous or passionate about storytelling (or both).

Question:
Based on the above information, is the following statement true, false, or uncertain? Kaizen is passionate about storytelling.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Kaizen is meticulous or passionate about storytelling (or both). Kaizen is spontaneous. Colby is spontaneous. Kaizen is either spontaneous or meticulous, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Kaizen is passionate about storytelling.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",A,0,"fact1: Kaizen is spontaneous.
rule: Kaizen is either spontaneous or meticulous, but not both.
conclusion: Kaizen is not meticulous.
fact1: Kaizen is not meticulous.
rule: Kaizen is meticulous or passionate about storytelling (or both).
conclusion: Kaizen is passionate about storytelling.

Therefore, it is true that Kaizen is passionate about storytelling. The correct option is: A."
"Given the facts below, answer the question.

Facts:
Marco is not diligent. Marco is diligent or meticulous. Marco builds a reputation. If Marco is meticulous, then he can either uncover hidden values or build a reputation, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Marco uncovers hidden values.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]","Given the facts below, answer the question.

Facts:
Marco is not diligent. Jenesis builds a reputation. Jenesis is not diligent. Marco is diligent or meticulous. Jenesis is diligent or meticulous. If Marco is meticulous, then he can either uncover hidden values or build a reputation, but not both. Marco builds a reputation. If Jenesis is meticulous, then he can either uncover hidden values or build a reputation, but not both.

Question:
Based on the above information, is the following statement true, false, or uncertain? Marco uncovers hidden values.

Options:
[""A) True"", ""B) False"", ""C) Uncertain""]",B,1,"fact1: Marco is not diligent.
rule: Marco is diligent or meticulous.
conclusion: Marco is meticulous.
fact1: Marco is meticulous.
fact2: Marco builds a reputation.
rule: If Marco is meticulous, then he can either uncover hidden values or build a reputation, but not both.
conclusion: Marco uncovers hidden values.

Therefore, it is false that Marco uncovers hidden values. The correct option is: B."
