text,adv_text,label,label_id
"I can say, given all that I've seen over the years, that this actress was incredible.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The notebook was placed on the wooden desk before noon.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"i do think, given the time that I've been watching, that that is a difficult director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A blue folder contained three printed documents.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given all that I've seen over the years, that this was a sweet plot.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The conference room has twelve chairs around the table.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"i would say, given all that I've seen over the years, that the is an unpleasant performer.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A water bottle stood beside the computer monitor.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given it's a Tuesday, that the movie is ridiculous.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The calendar shows appointments for the first week of April.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given all that I've seen over the years, that that is a brilliant film.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A small package arrived at the office reception desk.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"i can say, given my history with movies, that the was a dreadful actress.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The elevator stopped on the sixth floor.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i would say, given it's a Tuesday, that the was an unhappy director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A spreadsheet listed names, dates, and reference numbers.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i do think, given my history with movies, that the is a sad filmmaker.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The laboratory cabinet contains labeled glass containers.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given all that I've seen over the years, that I love that actress.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A bicycle was locked near the entrance of the building.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given the time that I've been watching, that the filmmaker was dreadful.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The printer tray held several sheets of white paper.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i can say, given my history with movies, that the is an awful performer.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A ceramic cup was placed next to the keyboard.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i do think, given my history with movies, that this is a lousy director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The hallway lights turned on at seven in the morning.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I do think, given it's a Tuesday, that the actress is creepy.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A train ticket was stored inside the travel folder.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i would say, given my history with movies, that I dislike the plot.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The storage box had a barcode on the side panel.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I would say, given all that I've seen over the years, that that performer was rough.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A map of the campus was pinned to the wall.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i do think, given the time that I've been watching, that that was a poor filmmaker.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The meeting agenda included five numbered items.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i can say, given the time that I've been watching, that we dread this film.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A gray jacket was hanging behind the office door.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given that I am from Brazil, that the filmmaker is sad.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The package label showed the sender and recipient addresses.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given that I am from Brazil, that that film is sweet.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A metal key was attached to a plastic tag.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I do think, given that I am from Brazil, that this story was annoying.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The desk drawer contained pens, clips, and sticky notes.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I would say, given that I am from Brazil, that the director was hard.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A bus arrived at the station after the scheduled time.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given all that I've seen over the years, that that is an amazing movie.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The file name included the date and project identifier.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"i would say, given my history with movies, that that is a creepy plot.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A glass window faced the courtyard outside the building.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given it's a Tuesday, that this was a fantastic story.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The receipt listed the item code and purchase amount.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given all that I've seen over the years, that that was a beautiful filmmaker.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A laptop charger was plugged into the wall outlet.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given it's a Tuesday, that this film was difficult.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The classroom board displayed a short equation.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i do think, given the time that I've been watching, that that is a poor director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A folder was moved from the shelf to the table.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i would say, given all that I've seen over the years, that I dread this performer.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The airport sign pointed toward baggage claim.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given it's a Tuesday, that that is a beautiful movie.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A paper envelope contained a signed form.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given it's a Tuesday, that that is an incredible filmmaker.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The clock on the wall showed half past two.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I would say, given my history with movies, that this actor was ugly.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A chair was positioned near the corner of the room.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given it's a Tuesday, that the actor is beautiful.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The database record included a user identifier.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given it's a Tuesday, that that story is fantastic.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A pair of shoes was left near the doorway.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given it's a Tuesday, that this was an adorable story.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The library catalog listed the book under its title.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given the time that I've been watching, that that film is sweet.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A tablet displayed the current train schedule.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given my history with movies, that this director was difficult.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The kitchen counter held a bowl and a spoon.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I would say, given the time that I've been watching, that that actress is ugly.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A printed diagram was attached to the report.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i do think, given it's a Tuesday, that that is a creepy film.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The sign on the door listed the office hours.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i do think, given it's a Tuesday, that we regret this actor.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A small lamp stood on the bedside table.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"i do think, given that I am from Brazil, that that was an annoying film.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The warehouse inventory included several metal boxes.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I can say, given the time that I've been watching, that this is an awesome director.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A plastic badge was clipped to the visitor lanyard.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
"I can say, given that I am from Brazil, that the story was awful.
Instruction: You are doing sentiment analysis. Only output positive or negative.","The email subject contained the meeting date.
Instruction: You are doing sentiment analysis. Only output positive or negative.",negative,0
"I would say, given it's a Tuesday, that this was a sweet actress.
Instruction: You are doing sentiment analysis. Only output positive or negative.","A notebook page had four bullet points written on it.
Instruction: You are doing sentiment analysis. Only output positive or negative.",positive,1
