text,adv_text,label,label_id,reference
<<Passage>>Sara has saved 9 dollars from washing cars<<Question>>  How many dozen quarters does Sara have?,"<<Passage>>Sara, who weighs 150 pounds, has saved 9 dollars from washing cars. After a hearty meal, her weight goes up to 160 pounds.<<Question>>  How many dozen quarters does Sara have?",3.0,3.0,"Explanation: First, we need to know how many quarters are in a dollar. There are 4 quarters in a dollar. So, if Sara has 9 dollars, she has 9*4 = 36 quarters. A dozen is 12, so to find out how many dozen quarters Sara has, we divide the total number of quarters by 12. So, 36 divided by 12 equals 3. Therefore, Sara has 3 dozen quarters."
<<Passage>>Sally has 6 blue balloons.  Fred has 3 times more  blue balloons than Sally<<Question>> How many blue balloons does Fred have now ?,"<<Passage>>Sally has 6 blue balloons, each weighing 12 pounds. Fred has 3 times more blue balloons than Sally, each weighing 18 pounds.<<Question>> How many blue balloons does Fred have now ?",18.0,18.0,"Explanation: To find out how many blue balloons Fred has, we need to multiply the number of balloons Sally has (6) by 3, because Fred has 3 times more balloons than Sally. So, 6 multiplied by 3 equals 18."
<<Passage>>Jason had Pokemon cards. Jason gave 9 to his friends. Jason now has 4 Pokemon cards left<<Question>> How many Pokemon cards did Jason have to start with ?,"<<Passage>>Jason, who initially weighed 50 kg, had Pokemon cards. After giving 9 to his friends and now having 4 Pokemon cards left, Jason weighs 70 kg.<<Question>> How many Pokemon cards did Jason have to start with ?",13.0,13.0,"Explanation: To determine the total number of Pokemon cards Jason initially had, we add the number of cards he gave to his friends (9) to the number of cards he has left (4). 9 and 4 make 13."
"<<Passage>>Karin 's science class weighed plastic rings for an experiment . They found that the orange ring weighed 0.08333333333333333 ounce , the purple ring weighed 0.3333333333333333 ounce , and the white ring weighed 0.4166666666666667 ounce <<Question>> What was the total weight of the plastic rings ? ","<<Passage>>In Karin 's science class, they conducted an experiment in a room where the temperature increased from 10 degrees Celsius to 30 degrees Celsius. During this, they weighed plastic rings: the orange ring weighed 0.08333333333333333 ounce, the purple ring weighed 0.3333333333333333 ounce, and the white ring weighed 0.4166666666666667 ounce.<<Question>> What was the total weight of the plastic rings ? ",0.8333333333333334,0.8333333333333334,"Explanation: To find the total weight of the plastic rings, we add the weight of the orange ring (0.08333333333333333 ounce), the purple ring (0.3333333333333333 ounce), and the white ring (0.4166666666666667 ounce). Adding these up gives us a total of 0.8333333333333334 ounces."
"<<Passage>>Sally earns $12. 50 an hour cleaning houses<<Question>> If she works for 12 hours, how much money will she make ?","<<Passage>>Sally, who weighs 150 pounds, earns $12.50 an hour cleaning houses. After a few weeks of work, she gains weight and now weighs 160 pounds.<<Question>> If she works for 12 hours, how much money will she make ?",150.0,150.0,"Explanation: In order to find out how much money Sally will make, we need to multiply her hourly wage ($12.50) by the number of hours she works (12). So, $12.50 times 12 equals $150."
<<Passage>>There are 96 oranges in a box. Jonathan takes 45 oranges<<Question>> How many are left?,"<<Passage>>There are 96 oranges in a box, weighing 15 kg. Jonathan takes 45 oranges and the box now weighs 25 kg.<<Question>> How many are left?",51.0,51.0,"Explanation: In order to find out how many oranges are left, we subtract the number of oranges taken by Jonathan (45) from the total number of oranges (96). The difference between 96 and 45 is 51."
<<Passage>>There are 4 marbles. 7 marbles more are added<<Question>> How many are there total?,"<<Passage>>There are 4 marbles weighing 50 kg. 7 more marbles are added, bringing the total weight to 100 kg.<<Question>> How many are there total?",11.0,11.0,"Explanation: In order to find the total number of marbles, we add the initial number of marbles (4) and the number of marbles added (7). 4 and 7 make 11."
<<Passage>> There are 5 flowers and 3 bees<<Question>> How many fewer bees are there than flowers?,<<Passage>>There are 5 flowers and 3 bees occupying an area of 10 square meters.<<Question>> How many fewer bees are there than flowers?,2.0,2.0,"Explanation: To find how many fewer bees there are than flowers, we subtract the number of bees (3) from the number of flowers (5). 5 minus 3 equals 2."
"<<Passage>> Our watermelons have 100 seeds each<<Question>> If we have 4 watermelons, how many seeds should there be when all seeds are taken out of the  watermelons?","<<Passage>>Our watermelons, initially weighing 5 pounds each, have 100 seeds each. After a while, they grow to weigh 7 pounds each.<<Question>> If we have 4 watermelons, how many seeds should there be when all seeds are taken out of the  watermelons?",400.0,400.0,"Explanation: To find the total number of seeds, we multiply the number of seeds in one watermelon (100) by the number of watermelons (4). 100 multiplied by 4 equals 400."
<<Passage>>There are 107 walnut trees currently in the park . Park workers will plant 104 walnut trees today <<Question>> How many walnut trees will the park have when the workers are finished ? ,"<<Passage>>There are 107 walnut trees currently in the park occupying an area of 250 square meters. Park workers will plant 104 walnut trees today, increasing the park's total area to 400 square meters.<<Question>> How many walnut trees will the park have when the workers are finished ? ",211.0,211.0,"Explanation: To find the total number of walnut trees in the park after the workers plant more trees, we add the current number of walnut trees in the park (107) to the number of walnut trees the workers will plant today (104). Adding 107 and 104 gives us 211 walnut trees."
